Patna public school,Janak chowk beur jail hasan pura road patna,800002,School
D.N Public School,"Mitra mandal Colony Phase II, Beur, Patna",800002,
DJ Public School,"Shri Krishna Vihar Colony, Beur, Near Devi Market, Anisabad, Patna",800002,
New B.D Public School,"Shri Krishna Vihar Colony, Beur, Near Pathak Insti ITI, Anisabad, Patna",800002,
St. Daniel public school,"Viveakanand path new patna collony, Anisabad, Patna",800002,School
Government Primary School,"Beur Jail Road, Beur, Anisabad, Patna",800002,
Progressive English Academy,"Beur, Kala Jewellers, Kunal Clinic, Anisabad, Patna",800002,
Gautam public High School,Beur jail patna,800002,School
Central School,"Beur Jail Road, Beur, Anisabad, Patna",800002,
Patliputra central school,"Beur More, Beur Jail, Anisabad, Patna",,
Kid's care school ,harni chak anishabad patna (Near Sonali Auto Pvt),800002,School
Government Middle School,"Harni Chak, Anisabad, Patna (block Phulwari Sharif)",800002,
Government Primary School,"Harni Chak, Anisabad, Patna (block Phulwari Sharif)",800002,
Sadguru Public School,"Harni Chak, Near Sinha Clinic, Anisabad, Patna",800002,
Asthha Public School,"Harni Chak, PNT Colony, Anisabad, Phulwari",800002,
Himalaya Public School,"Balmi Chak, Anisabad, Phulwari, Patna",800002,
Government Primary School,"Balmi Chak, Anisabad, Patna",800002,
Saint Paul's High School/Saintiar's Paul High Scchool,"S.T Colony,Harnichak, Anishabad,Patna-2 Near Devi Mandir",800002,
Sagalious Bachpan School,"Harni Chak, Anisabad, Patna",800002,
Turning Point School,"Roshan Nagar Road, Devi Mandir, Harnichak,Anishabad,Patna-2",800002,
Swami Vivekanand Montessori School,West shivpuri anishabad patna (near mAnju Bhavan)\,800002,
Gokul academy ,Shivpuri nahar anishabad patna (near RK Coaching),800002,School
Gyandeep english academy,"shivpuri, beurroad, Anisabad patna (near Sulight Coaching Centre)",800002,School
Divya Joyoti english academy," House No. 124, Near Sunlight Coaching, Shiv Puri, Anisabad ,Patna-2",800002,School
The Moon Public School,"Shiv Puri, Anisabad ,Patna-2 (near Ambedkar Chowk)",800002,
Government Primary School,"Chitkohra Nahar par, Near ambedkar chowk, Patna",800002,
Holy land english academy,"Vishnupuri chitkohra, anishabad patna (near Ambedkar Chowk)",800002,School
Vidya mandir girls high school,"Vishnupuri chitkohra, Near Bypass road, Anisabad Patna 2",800002,
The Sun Beam Academy,"Ambedkar Chowk ,Chit kohara Patna-2",800002,
R.K Public school,"Bhikha Chowk,anishabad Patna-2 (near Ram Homeo Chikitsak - NahAR PAR)",800002,School
Ramanujan vikash vidayala,Bhikhachak patna naya tola [vishnupuri],800002,School
Asha Deep Public School ,"Near Devi Mandir, Bhikhachak, Dabaria, Anisabad Patna ",800002,
St Anthoni High School ,"Road No 21, Jankipath, Anisabad, Patna ",800002,
Nancy's junior school,Road no.20 gardnibagh patna,800002,School
St. Paul's international school,Kachhi talab gardanibagh patna,800001,School
Vidya society school,Kachhi talab gardanibagh patna,800001,School
Guide Line Public School ,"Mandir Road, Kachi Talab, Gardanibagh ,P-1",800001,School
Cambridge Academy International,"Near Kacchi Talab, new Yarpur, Patna Janta Road Patna-1",800001,
Gautam Bright Public School/G.B Puclic School,"Janta Road, New Yarpur, GArdanibagh Patna-1",800001,
Kiddy Garden School ,"Yar Pur Road No -1, Gardanipbagh, Patna",800001,School
Nutan Chetan Public School,"Road No. 1, (near Kali Bari Mandir), Yarpur, Gardanibagh,  Patna-1",800001,
Government Adarsh Balak/Kanya Middle School,"New Yarpur, Gardanibagh, Road No.1, Patna ",800001,
lemark english acadany,"Shiv Nagar More, Harni Chak, kalyani colony beaur patna  ",800002,School
Gyan Jyoti Montessori School,"Mitramandal Colony, Anisabad, Patna",800020,
Oxford academy,"Mitra Mandal colony, saket bihar, sector-1, anissabad patna",800002,School
The B.D.M Public school ,"H No. 256, Balmi Chak, Anisabad, Purnandu nager patna",800002,School
Park Mount Senior Secondary School,"Saket Bihar, Mitra mandal Colony, Anisabad, Patna",800002,
Gyandeep Academy,"Saket Bihar, Mitra mandal Colony, Anisabad, Patna",800002,
Government Mahesh High/Middle School,"Phulwari Sharif, Anisabad, Patna",800002,
Holy cross school,Polic colony anisabad mani road patna,800002,School
Jesus Christ School,"C/166, Police Colony, Anisabad, Patna",800002,
Gyan Jyoti School,"C/88. Police Colony, Anisabad, Patna",800002,
S.V Public school,3\47 Polic colony Anisabad patna,800002,School
Mother Tressa Mission sohool,Opp-b-26 Polie colony Anisabad patan,800002,School
Emmanuel mission public school,Purnandu nager khoyaimli phulwarri sarif patna,800002,School
Kautilya Public School,Alinagar Anisabad Patna,800002,School
S Raza girls high school,Ali nager anisabad patna,800002,School
Gyanvi Public School,"Near Surya Mandir, Anisabad, Patna",800002,
Kids intrnational School,"Gulshan palza, Ali Nager Anisabad patna",800002,Play School
International Public School,Road no-A\3 Ali nager Anisabad Patna,800002,School
New Horizon Academy,Alinagar Anisabad Patna,800002,School
S Raza high school,Ali nager anisabad patna,800002,School
Stepping stone convent,"Alinagar, Anisabad, Patna (behind International School)",800002,School
St. Maxwell High School,"Alinagar, Anisabad, Patna",800002,
Kids cherry Garden,"Alinagar, Anisabad, Patna (near mosque)",800002,School
St. Tagore High School ,"Balami Chak, Anishabad Patna-2 (next to Rajkiya Vidyalaya)",800002,
Moring Glory Play School ,"Near Sonali Auto, Harnichak, Anishabad,Patna-2",800002,
Holy mission public school,Road no.39 raghunath tola anishabad patna  (harinarayan he ghar mein),800002,School
Bal Vikash Vidayala ,Road no.39 raghunath tola anishabad patna ,800002,
Springdale public high school,"H. No. 89, Road no.39 raghunath tola anishabad patna ",800002,
Rising sun academy,"H. NO - 135, Road no.39 raghunath tola anishabad patna ",800002,
Gyan Pragati Avasiya Vidayalaya,"Ragunath Tola, Anishabad Patna-2",800002,
Sahid bhagat sing academy sahmat vidyala,Chitkohra gardanibagh road no.23 patna  (near Manohar mandir),800002,School
Sri Daroga Prasad Ray Ucha Vidyalaya,"Gardanibagh, Chitkohra market, Patna (near Manohar Mandir)",800001,
St. James high school,Road no.21 near church patna,800002,School
Government Shramik Middle School,"Yarpur, Kahagol Road, Patna",800001,
Hill Grove Academy,"Yarpur, Khagol Road, Patna",800001,
K.N. St. Francis,Mithapur Patna-1,800001,
Sanjay Gandhi Mahila Maha Vidyalaya,"Yarpur, Kahagol Road, Patna",800001,
Gyan Sarover School,Yarpur Patna-1,800001,
Government Primary School,"Block-Gardanibagh, Dom Khana, Yarpur, Khagol Road, Patna",800001,
Gurukul Gayan Niketan ,Yarpur Yogia Tola Patna-1,800001,
Vivekanand memorial academy,Surbhi path jakkan pur patna ,800001,School
South Point Public School,"Near Laxmi Mrket, Jakkan Pur, Patna -1",800001,
Sharp Public High School,"Old Jakkanpur Kausalya Bhawan, Kahar Toli, Patna",800001,
Gyanodaya Montessori School,"OLD Jakkan pur, Patna -1 (Beside Sharp high School)",800001,
Ram Chandra Singh Sanskrit Primary/High School,"Old Jakkanpur, Patna",800001,
Adarsh Vidaya Mandir ,"Bajnath Mahato Margh, Old Jakkan Pur  Patna",800001,School
Adarsh Vidya Niketan,"BN Mahato Marg, Old (near GPO) Jakkanpur (near police station) Patna-1",800001,
R.P. Preparatory,"Baijnath Mahto road, Old Jakkan Pur, Patna",800001,
S.S. Preparatory School ,"Janta Road Old Jakkan Pur, GArdanibagh P-1",800001,School
R.K. Mission High School ,Janta Road Old Jakkan Pur P-1,800001,School
Repose International School,"New Yarpur, Janta road, Gardanibagh Patna ",800001,
Navrangi Academy ,"Janta Road, Vir Kuwan Singh Nagar, GArdanibagh Patna-1",800001,
Deksha Anglo Vedic Public School,"Machali Gali, New Jakkanpur Patna-1",800001,
Residential adarsh Indian Sainik School,Aziz Road Mitthapur P-1,800001,School
St. Patrick Academy,Aziz Road Mithapur Patna-1,800001,
Sant Mary Academy,"Aziz Road, Mithapur Patna-1",800001,
Shivam Public School,"Aziz Lane, Gauriya Math,  Mithapur P-1",800001,School
St. MG Public School (english),"Kanulal Road, Mithapur patna",800001,School
St. M.G.High school (hindi)\Model St. xavier jr.school,Kanulal Road Mithapur P-1,800001,School
Royal Children Academy,Mithapur Patna-1,800001,
Swami Vivekanand Scientific High school,Mithapur Bengali road B area,800001,School
Annie Besant National School,"Bengali Road, Mithapur patna",800001,School
Shivam Public School ,"Near Bhargau Saw Mill, Khagaul Road, Patna-1",800001,
S R Vidyapith,"Khagaul Road, Mithapur Patna-1",800001,
Dayanand Vidyalaya (boys),"Mithapur, Patna, Khagol Road",800001,
Saraswati Vidaya Mandir,"Khagaul Road, Mithapur P-1",800001,School
Dayanand Kanya Vidyalaya ,"Kanulal Road, Mithapur, PAtna",800001,
Divya gyan public school,Gandhi path goriya math patna,800001,School
Vidaya Mandir School ,"Shivpuri vishnupuri, Ambedkar Chowk,  patna",800002,
Bansi Nilay (Smariti Vidaya Mandir),"Bhikha Chowk,anishabad Patna-2",800002,School
Indian public school ,"Alkapuri, Road NO 9, gardanibagh patna",800002,School
St. Loretto academy,"Alkapuri, gardanibagh patna",800002,School
Bidya bihar,"Alkapuri, gardanibagh, patna",800002,School
Adarsh Gyan Kunj,Saristabad west tola main road patna,800002,SChool
Bal Vikash academy,Sadhnapuri Patna,800002,School
Star Point public school,Road no.6/D sadhana puri gardanibagh Patna,800002,School
Turning Point school,Yamuna complex Sarista bad Patna,800002,School
