Baby Brilliant High School,Nur.,10,Sanjay Nagar Main road Patna,800001,English and Hindi,Unecognised,Private unaided,Low Cost
S.N. Memorial High School,Nur.,10,New Jakkanpur Ramkrishna Nagar Patna,800027,English and Hindi,Unecognised,Private unaided,Low Cost
Patna Kids Convent,Nur.,5,Sudarshan Bihar New Jaganpura Patna,800027,English,Unecognised,Private unaided,Low Cost
Patna Kids Central School,Nur.,6,Opp. Patna Central School New Jaganpura Patna,800027,English,Unecognised,Private unaided,Low Cost
S.S.English Academy,Nur.,8,New Jaganpura Near P.C.S. School,800027,English,Unecognised,Private unaided,Low Cost
J.N.Girls High School,6,10,New Jaganpura Near P.C.S. School,800027,Hindi,Unecognised,Private unaided,Low Cost
Bright India School,Nur.,8,"Bajrangpuri Alan ganj, Gulzarbagh Gayghat Patna",800007,English,Unecognised,Private unaided,Affordable
Ashok Public School,Nur.,7,Gulzarbagh Gayghat Patna,800007,English,Unecognised,Private unaided,Low Cost
Gyan Sangam High School,Nur.,8,Math Luxmanpur Koyri Tola Gayghat Patna,800007,English,Unecognised,Private unaided,Low Cost
Bihar Central School,Nur.,6,Sankari Gali Gual Toli Shershah Road gayghat Patna,800007,English,Unecognised,Private unaided,Low Cost
Sai International School,Nur.,12,Bajrangpuri Gayghat patna,800007,English,Unecognised,Private unaided,Higher Cost
Gyan Ganga Niketan,Nur.,5,Sahid Bhagat Singh Road Bajrang Path Patna,800007,English,Unecognised,Private unaided,Low Cost
Rotary Public High School,Nur.,7,D-76 p.c colony kankarbagh ,800020,English,Unecognised,Private unaided,Low Cost
Gyan Deep Public school,Nur.,10,RMS colony kankarbagh ,800020,English,Unecognised,Private unaided,Low Cost
Mahatma Gandhi Madhya Vidyalaya`,Nur.,8,mahavir nagar Hanuman Nahar kankarbagh ,800020,English and Hindi,Unecognised,Private unaided,Low Cost
Vidya Niketan,Nur.,10,MIG 49 hanuman nagar kankarbagh patna,800020,English,Unecognised,Private unaided,Affordable
Naveen Vikash Vidayala,Nur.,10,Ajanta Niketan Keshri Nagar Patna,800024,English and Hindi,Unecognised,Private unaided,Affordable
Greenfield Convent School,Nur.,8,Ajanta Coloney Keshri Nagar Patna ,800024,English,Unecognised,Private unaided,Affordable
ST. Stephens Academy,Nur.,6,Ajanta Coloney Keshri Nagar Patna ,800024,English,Unecognised,Private unaided,Low Cost
ST. Marry School,1,7,Inderpuri Road No.- 2 Patna,800024,English,Unecognised,Private unaided,Low Cost
Knowledge Hut,Nur.,7,Indrapuri Road No.- 5B,800024,English,Unecognised,Private unaided,Low Cost
Bharat Public School,Nur.,3,Inderpuri Road No.- 9A Patna,800024,English,Unecognised,Private unaided,Affordable
ST. Karen`s High School,1,10,141-d  s.k puri patna,800001,English,Recognised,Private aided,Higher Cost
ST. Christ Kids Academy,Nur.,8,North s.k puri rajendra path ,800001,English and Hindi,Unecognised,Private unaided,Affordable
A.R Public School,Nur.,6,Road no.5 Nehru nagar,800013,English,Unecognised,Private unaided,Low Cost
Shikshayatan,Nur.,4,m3/35 s.k puri ,800001,English and Hindi,Unecognised,Private unaided,Low Cost
Cambridge High School,1,6,Sidheshwar nagar patna,800001,English and Hindi,Unecognised,Private unaided,Low Cost
Happy High School,1,12,186/b s.k puri ,800001,English and Hindi,Unecognised,Private unaided,Affordable
Roxo Convent High School,Nur.,10,North Patel Nagar Patna,800024,English,Unecognised,Private unaided,Affordable
Sacred Heart School,Nur.,8,Inderpuri Road No.- 9A Patna,800024,English,Unecognised,Private unaided,Affordable
Patna Public School,Nur.,7,Gokul Path North Patel Nagar Patna,800024,English,Unecognised,Private unaided,Low Cost
H.R.D.T. Public School,Nur.,10,west Shivpuri Patna,800023,English,Unecognised,Private unaided,Affordable
Sunshine High School,Nur.,10,Shivpuri Patna,800023,English,Unecognised,Private unaided,Low Cost
D.A.V. Public School,Nur.,12,New Punai Chak Patna ,800023,English,Recognised,Private unaided,Higher Cost
Eklavya Educational Complex,Nur.,12,Patel Nagar Patna,800023,English,Unecognised,Private aided,Higher Cost
Progressive Kids Academy,Nur.,5,Bank Coloney Baba Chowk Patna,800024,English,Unecognised,Private unaided,Affordable
Springdales School,1,10,SOMSADAN hose no.27 road no.2 nehru nagar pp colony,800001,Hindi,Unecognised,Private unaided,Low Cost
Boon Public School,Nur.,6,"H.No. -19,Sardar Patel Path Boring Road Patna ",800001,English,Unecognised,Private unaided,Higher Cost
Ideal Public School,Nur.,8,Buddha Coloney Patna,800001,English,Unecognised,Private unaided,Higher Cost
Planet K,Nur.,5,Old State Bank Coloney Digha Patna,800011,English,Unecognised,Private unaided,Low Cost
St. Annes School,Nur.,5,Fairfield Coloney Digha Ghat Patna,800011,English,Unecognised,Private unaided,Affordable
Disneyland Play School Fatima High,Nur.,10,Bans Khoti Digha Patna,800011,English,Unecognised,Private unaided,Affordable
Sarswati Academy (High School),Nur.,10,Makhdumpur Digha Patna,800011,English and Hindi,Unecognised,Private unaided,Low Cost
Holly Mission School,Nur.,10,Rajeev Nagar Road No.- 14 Patna,800024,English,Unecognised,Private unaided,Affordable
Loreto Public School,Nur.,6,Rajeev Nagar Road No.- 19,800024,English,Unecognised,Private unaided,Low Cost
Daffodiles Public School,Nur.,7,Lalit Niketan Main Road ,800024,English,Unecognised,Private unaided,Low Cost
S.V.M. Residential Public School,1,10,Rajeev Nagar Road No.- 24 Patna,800024,English,Unecognised,Private unaided,Higher Cost
Mont Fort Convent High School,Nur.,10,house no.111 Indira nagar  Anandpur Patna,800001,English and Hindi,Unecognised,Private unaided,Low Cost
Kids Arcade,Nur.,5,Bilaspur house near panchmukhi mandir boring cannal road,800001,English,Unecognised,Private unaided,Higher Cost
B.D Public School,1,12,Buddha Coloney Patna,800001,English,Unecognised,Private unaided,Higher Cost
St. Domnic Savio Acadmey,Nur.,7,Boring cannal road annad puri patna,800001,English,Unecognised,Private unaided,Affordable
Sunrise Academy,1,5,Bans Khoti Digha Patna,800011,Hindi,Unecognised,Private unaided,Low Cost
